id;curso;asignatura;tema;concepto;nivel;tipo;pregunta;opciones;respuesta_correcta;extra;activa
Q000001;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);casa|rápido|correr|azul;casa;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000002;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);perro|rápido|correr|azul;perro;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000003;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);mesa|rápido|correr|azul;mesa;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000004;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);niña|rápido|correr|azul;niña;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000005;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);colegio|rápido|correr|azul;colegio;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000006;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);libro|rápido|correr|azul;libro;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000007;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);parque|rápido|correr|azul;parque;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000008;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);flor|rápido|correr|azul;flor;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000009;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);coche|rápido|correr|azul;coche;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000010;3EP;Lengua;gramatica;sustantivos;1;test;¿Cuál de estas palabras es un sustantivo? (nivel 1);mar|rápido|correr|azul;mar;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000011;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);casa|corre|bonita|rápidamente;casa;Elige una palabra que nombre algo.;1
Q000012;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);perro|corre|bonita|rápidamente;perro;Elige una palabra que nombre algo.;1
Q000013;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);mesa|corre|bonita|rápidamente;mesa;Elige una palabra que nombre algo.;1
Q000014;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);niña|corre|bonita|rápidamente;niña;Elige una palabra que nombre algo.;1
Q000015;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);colegio|corre|bonita|rápidamente;colegio;Elige una palabra que nombre algo.;1
Q000016;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);libro|corre|bonita|rápidamente;libro;Elige una palabra que nombre algo.;1
Q000017;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);parque|corre|bonita|rápidamente;parque;Elige una palabra que nombre algo.;1
Q000018;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);flor|corre|bonita|rápidamente;flor;Elige una palabra que nombre algo.;1
Q000019;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);coche|corre|bonita|rápidamente;coche;Elige una palabra que nombre algo.;1
Q000020;3EP;Lengua;gramatica;sustantivos;1;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 1);mar|corre|bonita|rápidamente;mar;Elige una palabra que nombre algo.;1
Q000021;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);casa|rápido|correr|azul;casa;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000022;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);perro|rápido|correr|azul;perro;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000023;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);mesa|rápido|correr|azul;mesa;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000024;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);niña|rápido|correr|azul;niña;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000025;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);colegio|rápido|correr|azul;colegio;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000026;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);libro|rápido|correr|azul;libro;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000027;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);parque|rápido|correr|azul;parque;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000028;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);flor|rápido|correr|azul;flor;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000029;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);coche|rápido|correr|azul;coche;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000030;3EP;Lengua;gramatica;sustantivos;2;test;¿Cuál de estas palabras es un sustantivo? (nivel 2);mar|rápido|correr|azul;mar;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000031;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);casa|corre|bonita|rápidamente;casa;Elige una palabra que nombre algo.;1
Q000032;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);perro|corre|bonita|rápidamente;perro;Elige una palabra que nombre algo.;1
Q000033;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);mesa|corre|bonita|rápidamente;mesa;Elige una palabra que nombre algo.;1
Q000034;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);niña|corre|bonita|rápidamente;niña;Elige una palabra que nombre algo.;1
Q000035;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);colegio|corre|bonita|rápidamente;colegio;Elige una palabra que nombre algo.;1
Q000036;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);libro|corre|bonita|rápidamente;libro;Elige una palabra que nombre algo.;1
Q000037;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);parque|corre|bonita|rápidamente;parque;Elige una palabra que nombre algo.;1
Q000038;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);flor|corre|bonita|rápidamente;flor;Elige una palabra que nombre algo.;1
Q000039;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);coche|corre|bonita|rápidamente;coche;Elige una palabra que nombre algo.;1
Q000040;3EP;Lengua;gramatica;sustantivos;2;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 2);mar|corre|bonita|rápidamente;mar;Elige una palabra que nombre algo.;1
Q000041;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);casa|rápido|correr|azul;casa;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000042;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);perro|rápido|correr|azul;perro;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000043;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);mesa|rápido|correr|azul;mesa;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000044;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);niña|rápido|correr|azul;niña;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000045;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);colegio|rápido|correr|azul;colegio;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000046;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);libro|rápido|correr|azul;libro;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000047;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);parque|rápido|correr|azul;parque;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000048;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);flor|rápido|correr|azul;flor;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000049;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);coche|rápido|correr|azul;coche;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000050;3EP;Lengua;gramatica;sustantivos;3;test;¿Cuál de estas palabras es un sustantivo? (nivel 3);mar|rápido|correr|azul;mar;Busca una palabra que nombre una persona, animal, lugar o cosa.;1
Q000051;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);casa|corre|bonita|rápidamente;casa;Elige una palabra que nombre algo.;1
Q000052;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);perro|corre|bonita|rápidamente;perro;Elige una palabra que nombre algo.;1
Q000053;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);mesa|corre|bonita|rápidamente;mesa;Elige una palabra que nombre algo.;1
Q000054;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);niña|corre|bonita|rápidamente;niña;Elige una palabra que nombre algo.;1
Q000055;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);colegio|corre|bonita|rápidamente;colegio;Elige una palabra que nombre algo.;1
Q000056;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);libro|corre|bonita|rápidamente;libro;Elige una palabra que nombre algo.;1
Q000057;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);parque|corre|bonita|rápidamente;parque;Elige una palabra que nombre algo.;1
Q000058;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);flor|corre|bonita|rápidamente;flor;Elige una palabra que nombre algo.;1
Q000059;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);coche|corre|bonita|rápidamente;coche;Elige una palabra que nombre algo.;1
Q000060;3EP;Lengua;gramatica;sustantivos;3;completar;Completa con un sustantivo: La ___ está en su sitio. (nivel 3);mar|corre|bonita|rápidamente;mar;Elige una palabra que nombre algo.;1
Q000061;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _arco;barco|varco;barco;Fíjate en la ortografía de la palabra.;1
Q000062;3EP;Lengua;ortografia;b_v;1;test;Completa correctamente: _entana;ventana|bentana;ventana;Fíjate en la ortografía de la palabra.;1
